Mihai Culeafă;1971-05-17;2;'';'Mihai Culeafă';'88';'PNL';'{"2024": 2, "2016": 2}'
Cristina-Emanuela Dascălu;;2;'';'';'89';'AUR';'{}'
Alexandru-Paul Dimitriu;;2;'';'';'90';'USR';'{}'
Elena Doboș;;2;'';'';'91';'AUR';'{}'
Ciprian Minodor Dobre;1971-04-26;2;'';'';'92';'PNL';'{"2024": 2, "2008": 2}'
Andrei Dolineaschi;1975-06-21;2;'';'Andrei Dolineaschi';'93';'PSD';'{"2024": 2, "2012": 2, "2008": 2}'
Cezar-Mihail Drăgoescu;;2;'';'';'94';'USR';'{}'
Vlad-Florentin Drinceanu;;2;'';'';'95';'PSD';'{}'
Cătălin Drulă;1981-05-02;2;'';'Cătălin Drulă';'96';'USR';'{"2024": 2, "2020": 2, "2016": 2}'
Costel Neculai Dunava;1978-03-07;2;'';'Costel Neculai Dunava';'97';'PSD';'{"2024": 2, "2020": 2, "2016": 2}'
Adrian Echert;;2;'';'';'98';'USR';'{}'
Diana Enache;;2;'';'Diana Enache';'99';'AUR';'{}'
Mihai-Adrian Enache;;2;'';'';'100';'AUR';'{}'
Raisa Enachi;1982-03-10;2;'';'Raisa Enachi';'101';'SOS';'{"2024": 2, "2020": 2}'
Gabriela-Corina Ene;;2;'';'';'102';'PSD';'{}'
Mădălin-Laurențiu Făget;;2;'';'';'103';'SOS';'{}'
Mircea Fechet;1980-07-01;2;'';'Mircea Fechet';'104';'PNL';'{"2024": 2, "2020": 2}'
Silviu Feodor;1973-08-13;2;'';'Silviu Feodor';'105';'';'{"2024": 2, "2020": 2}'
Mihai-Viorel Fifor;1970-05-10;2;'';'Mihai-Viorel Fifor';'106';'PSD';'{"2024": 2, "2020": 2}'
Iulius Marian Firczak;1979-10-14;2;'';'Iulius Marian Firczak';'107';'';'{"2024": 2, "2020": 2, "2016": 2}'
Gabriel-Florinel Florea;;2;'';'';'108';'AUR';'{}'
Mirela Furtună;1980-11-15;2;'';'Mirela Furtună';'109';'PSD';'{"2024": 2, "2020": 2, "2016": 2}'
Călin-Grațian Gal;;2;'';'';'110';'PNL';'{}'
Gál Károly;1973-09-20;2;'';'Gál Károly';'111';'UDMR';'{"2024": 2, "2020": 2}'
Ovidiu Victor Ganț;1966-08-18;2;'';'Ovidiu Victor Ganț';'112';'';'{"2024": 2, "2020": 2, "2016": 2, "2012": 2, "2008": 2, "2004": 2}'
Anamaria Gavrilă;1983-10-15;2;'';'Anamaria Gavrilă';'113';'POT';'{"2024": 2, "2020": 2}'
Bianca-Eugenia Gavrilă;;2;'';'';'114';'POT';'{}'
Grațiela Leocadia Gavrilescu;1966-06-24;2;'';'Grațiela Leocadia Gavrilescu';'115';'PSD';'{"2024": 2, "2020": 2, "2016": 2, "2012": 2, "2008": 2, "2004": 2}'
Aurora-Adela Geamănu;;2;'';'';'116';'PSD';'{}'
Gheorghe-Daniel Georgescu;;2;'';'';'117';'PSD';'{}'
Andrei Daniel Gheorghe;1985-07-27;2;'';'Andrei Daniel Gheorghe';'118';'PNL';'{"2024": 2, "2020": 2, "2016": 2, "2012": 2}'
Ionel Gheorghe;;2;'';'';'119';'AUR';'{}'
Mihai-Claudiu Gheorghe;;2;'';'';'120';'AUR';'{}'
Andrei-Florin Gheorghiu;;2;'';'';'121';'USR';'{}'
Giureci-Slobodan Ghera;1979-04-15;2;'';'Giureci-Slobodan Ghera';'122';'';'{"2024": 2, "2020": 2, "2016": 2, "2012": 2}'
Laura Gherasim;;2;'';'';'123';'AUR';'{}'
Alexandru-Mihai Ghigiu;;2;'';'';'124';'PSD';'{}'
George Gima;;2;'';'';'125';'USR';'{}'
Adrian Giurgiu;1991-10-30;2;'';'Adrian Giurgiu';'126';'USR';'{"2024": 2, "2020": 2}'
Dumitrița Gliga;1980-08-02;2;'';'Dumitrița Gliga';'127';'PSD';'{"2024": 2, "2020": 2}'
Ionel Goidescu;;2;'';'';'128';'SOS';'{}'
Alina-Ștefania Gorghiu;1978-09-16;2;'';'Alina-Ștefania Gorghiu';'129';'PNL';'{"2024": 2, "2020": 1, "2016": 1, "2012": 2, "2008": 2}'
Mircea-Vasile Govor;;2;'';'Mircea-Vasile Govor';'130';'PSD';'{}'
Sorin Mihai Grindeanu;1973-12-05;2;'';'Sorin Mihai Grindeanu';'131';'PSD';'{"2024": 2, "2020": 2, "2012": 2}'
Daniel Grofu;;2;'';'';'132';'POT';'{}'
Ioana Grosaru;;2;'';'';'133';'';'{}'
Veronica Grosu;;2;'';'';'134';'AUR';'{}'
Călin-Florin Groza;;2;'';'';'135';'POT';'{}'
Silviu-Octavian Gurlui;;2;'';'';'136';'AUR';'{}'
Andrei-Cosmin Gușă;;2;'';'';'137';'SOS';'{}'
Augustin-Florin Hagiu;;2;'';'';'138';'PSD';'{}'
Pollyanna-Hanellore Hangan;1975-07-04;2;'';'Pollyanna-Hanellore Hangan';'140';'USR';'{"2024": 2, "2020": 2}'
Georgeta-Carmen Holban;1968-02-14;2;'';'Georgeta-Carmen Holban';'141';'PSD';'{"2024": 2, "2020": 2, "2016": 2}'
Cosmin Hristu;;2;'';'';'142';'AUR';'{}'
Bogdan-Iulian Huțucă;1967-07-10;2;'';'Bogdan-Iulian Huțucă';'143';'PNL';'{"2024": 2, "2020": 2, "2016": 2}'
Monica Iagăr;;2;'';'Monica Iagăr';'144';'AUR';'{}'
Marius-Ionel Iancu;1972-06-08;2;'';'Marius-Ionel Iancu';'145';'PSD';'{"2024": 2, "2020": 2, "2016": 2}'
Iusein Ibram;1953-07-06;2;'';'Iusein Ibram';'146';'';'{"2024": 2, "2020": 2, "2016": 2, "2012": 2, "2008": 2, "2004": 2}'
Natalia-Elena Intotero;1976-01-14;2;'';'Natalia-Elena Intotero';'147';'PSD';'{"2024": 2, "2020": 2, "2016": 2, "2012": 2}'
Nicolae-Mirel Ion;;2;'';'';'148';'SOS';'{}'
Stelian-Cristian Ion;1977-06-24;2;'';'Stelian-Cristian Ion';'149';'USR';'{"2024": 2, "2020": 2, "2016": 2}'
Monica Ionescu;;2;'';'';'150';'POT';'{}'
Radu-Mihail Ionescu;;2;'';'';'151';'POT';'{}'
Tudor Ionescu;;2;'';'';'152';'SOS';'{}'
Ion Iordache;1974-05-05;2;'';'Ion Iordache';'153';'PNL';'{"2024": 2, "2020": 1}'
Cosmin-Teodor Iosub;;2;'';'';'154';'AUR';'{}'
Ancuța-Florina Irimia;;2;'';'';'155';'POT';'{}'
Marius-Adrian Isac;;2;'';'';'156';'PSD';'{}'
Bogdan-Gruia Ivan;1991-03-24;2;'';'Bogdan-Gruia Ivan';'157';'PSD';'{"2024": 2, "2020": 2}'
Iosif-Florin Jianu;;2;'';'';'158';'SOS';'{}'
Kántor Boglárka;;2;'';'';'159';'UDMR';'{}'
Kelemen Hunor;1967-10-18;2;'';'Kelemen Hunor';'160';'UDMR';'{"2024": 2, "2020": 2, "2016": 2, "2012": 2, "2008": 2, "2004": 2, "2000": 2}'
Kolcsár Anquetil-Károly;1968-12-12;2;'';'';'161';'UDMR';'{"2024": 2, "2020": 2}'
Eduard-Virgil Koler;;2;'';'';'162';'AUR';'{}'
Könczei Csaba;1966-02-22;2;'';'';'163';'UDMR';'{"2024": 2, "2020": 2}'
Sebastian-Andrei Kroncsiș;;2;'';'';'164';'POT';'{}'
Kulcsár-Terza József-György;1972-11-24;2;'';'';'165';'UDMR';'{"2024": 2, "2020": 2, "2016": 2}'
Ladányi László-Zsolt;1970-05-07;2;'';'Ladányi László-Zsolt';'166';'UDMR';'{"2024": 2, "2020": 2}'
Teodor Lazăr;1967-09-28;2;'';'Teodor Lazăr';'167';'USR';'{"2024": 2, "2020": 2}'
Remus-Gabriel Lăpușan;;2;'';'';'168';'PSD';'{}'
Ioan Lăzăroi;;2;'';'Ioan Lăzăroi';'169';'SOS';'{}'
Elisabeta Lipă;;2;'';'Elisabeta Lipă';'170';'PSD';'{}'
Ghervazen Longher;1972-01-03;2;'';'Ghervazen Longher';'171';'';'{"2024": 2, "2020": 2, "2012": 2, "2008": 2, "2004": 2, "2000": 2}'
Ștefan-Iulian Lőrincz;1991-05-07;2;'';'Ștefan-Iulian Lőrincz';'172';'USR';'{"2024": 2, "2020": 2}'
Ramona Lovin;;2;'';'';'173';'AUR';'{}'
Romeo-Daniel Lungu;1979-04-21;2;'';'Romeo-Daniel Lungu';'174';'PSD';'{"2024": 2, "2020": 2}'
Simona-Elena Macovei Ilie;;2;'';'';'175';'SOS';'{}'
Magyar Loránd-Bálint;1980-02-17;2;'';'Magyar Loránd-Bálint';'176';'UDMR';'{"2024": 2, "2020": 2, "2016": 2}'
Petre-Florin Manole;1983-10-06;2;'';'Petre-Florin Manole';'177';'PSD';'{"2024": 2, "2020": 2, "2016": 2}'
Claudiu Manta;1981-05-12;2;'';'Claudiu Manta';'178';'PSD';'{"2024": 2, "2020": 2}'
Radu Marinescu;;2;'';'';'179';'PSD';'{}'
Markó Attila-Gabor;1968-09-27;2;'';'Markó Attila-Gabor';'180';'UDMR';'{"2024": 2, "2012": 2}'
George-Nicolae Marussi;1969-03-16;2;'';'George-Nicolae Marussi';'181';'USR';'{"2024": 2, "2016": 1}'
Aneta Matei;;2;'';'';'182';'PNL';'{}'
Sergiu-Lucian Matei;;2;'';'';'183';'POT';'{}'
Mirela-Florența Matichescu;;2;'';'';'184';'PSD';'{}'
Călin-Gheorghe Matieș;1971-08-08;2;'';'Călin-Gheorghe Matieș';'185';'AUR';'{"2024": 2, "2020": 1}'
Mitică-Marius Mărgărit;1985-06-11;2;'';'Mitică-Marius Mărgărit';'186';'PSD';'{"2024": 2, "2020": 2, "2016": 2}'
Samuel-Virgil Miclău;;2;'';'';'188';'AUR';'{}'
Radu-Nicolae Mihaiu;;2;'';'Radu-Nicolae Mihaiu';'189';'USR';'{}'
Ioan Mihalcea;;2;'';'';'190';'PSD';'{}'
Remus-Gabriel Mihalcea;1985-03-06;2;'';'Remus-Gabriel Mihalcea';'191';'PSD';'{"2024": 2, "2020": 2}'
Silvia-Claudia Mihalcea;;2;'';'';'192';'PSD';'{}'
Mugur Mihăescu;;2;'';'Mugur Mihăescu';'193';'AUR';'{}'
Bogdan-Florian Mihuți;;2;'';'';'194';'PSD';'{}'
Miklós Zoltán;1975-08-16;2;'';'';'195';'UDMR';'{"2024": 2, "2020": 2}'
Marian Mina;1977-01-04;2;'';'Marian Mina';'196';'PSD';'{"2024": 2, "2020": 2}'
Florin Mircea;1980-04-01;2;'';'Florin Mircea';'197';'PSD';'{"2024": 2, "2020": 2, "2016": 2}'
Radu-Dinel Miruță;1985-04-08;2;'';'Radu-Dinel Miruță';'198';'USR';'{"2024": 2, "2020": 2}'
Eduard-Tatian Mititelu;;2;'';'';'199';'PNL';'{}'
Dumitrina Mitrea;1971-10-12;2;'';'Dumitrina Mitrea';'200';'AUR';'{"2024": 2, "2020": 2}'
Nicolae Mîndrescu;;2;'';'';'201';'AUR';'{}'
Cătălin-Viorel Mîndroc;;2;'';'';'202';'PSD';'{}'
Adrian Mocanu;1983-05-12;2;'';'Adrian Mocanu';'203';'PNL';'{"2024": 2, "2016": 2, "2012": 2, "2008": 2}'
Alexandrin Moiseev;;2;'';'';'204';'SOS';'{}'
Radu-Marin Moisin;1982-12-10;2;'';'Radu-Marin Moisin';'205';'PNL';'{"2024": 2, "2020": 2}'
Molnar Andrei;;2;'';'';'206';'UDMR';'{}'
Lucian-Ioan-Titus Morar;;2;'';'';'207';'PSD';'{}'
Patricia Simina Arina Moș;;2;'';'';'208';'PNL';'{"2024": 2, "2020": 1}'
Liviu-Ionuț Moșteanu;1973-12-23;2;'';'Liviu-Ionuț Moșteanu';'209';'USR';'{"2024": 2, "2020": 2, "2016": 2}'
Sorin-Titus Muncaciu;1953-09-12;2;'';'Sorin-Titus Muncaciu';'210';'AUR';'{"2024": 2, "2020": 2}'
Valeriu Munteanu;;2;'';'Valeriu Munteanu';'211';'AUR';'{}'
Mohammad Murad;;2;'';'Mohammad Murad';'212';'AUR';'{}'
Oana Murariu;1988-09-11;2;'';'Oana Murariu';'213';'USR';'{"2024": 2, "2020": 2}'
Iulian-Alexandru Muraru;1982-05-20;2;'';'Iulian-Alexandru Muraru';'214';'PNL';'{"2024": 2, "2020": 2, "2016": 2}'
Doru-Lucian Mușat;;2;'';'';'215';'AUR';'{}'
Gheorghe Nacov;1972-04-11;2;'';'Gheorghe Nacov';'216';'';'{"2024": 2, "2020": 2}'
Nagy Szabolcs;1983-07-23;2;'';'Nagy Szabolcs';'217';'UDMR';'{"2024": 2, "2020": 2}'
Vasile Nagy;1988-10-12;2;'';'Vasile Nagy';'218';'SOS';'{"2024": 2, "2020": 2}'
Rodica Nassar;1957-06-25;2;'';'Rodica Nassar';'219';'PSD';'{"2024": 2, "2020": 2, "2012": 2, "2008": 2, "2004": 2, "2000": 2}'
Claudiu-Iulius-Gavril Năsui;1985-05-05;2;'';'Claudiu-Iulius-Gavril Năsui';'220';'USR';'{"2024": 2, "2020": 2, "2016": 2}'
Andreea-Firuța Neacșu;;2;'';'';'221';'AUR';'{}'
Marian Neacșu;1964-05-27;2;'';'Marian Neacșu';'222';'PSD';'{"2024": 2, "2012": 2, "2008": 2}'
Petre-Emanoil Neagu;;2;'';'';'223';'PSD';'{}'
George-Mihail Neamțu;;2;'';'George-Mihail Neamțu';'224';'AUR';'{}'
Eugen Neață;1967-06-11;2;'';'Eugen Neață';'225';'PSD';'{"2024": 2, "2020": 2, "2016": 2}'
Laurențiu Adrian Neculaescu;;2;'';'';'226';'PSD';'{}'
Mihai-Bogdan Negoescu;;2;'';'';'227';'AUR';'{}'
Petru-Gabriel Negrea;;2;'';'';'228';'AUR';'{}'
Dan-Mihai Nicolae;;2;'';'';'229';'POT';'{}'
Silviu-Florin Oancea;;2;'';'';'230';'AUR';'{}'
