2939,CURELARU ION,40,VL,JUDEȚUL VÂLCEA,VÂLCEA,168452,Oraș Bălcești,BĂLCEȘTI,"62,0000000000",UNIUNEA SOCIAL LIBERALĂ,USL,"62,0000000000",UNIUNEA SOCIAL LIBERALĂ,USL,1,3
1360,PATRICHE ȘTEFAN,18,GL,JUDEȚUL GALAȚI,GALAȚI,77509,Vârlezi,VÂRLEZI,"62,0000000000",UNIUNEA SOCIAL LIBERALĂ,USL,"62,0000000000",UNIUNEA SOCIAL LIBERALĂ,USL,2,5
1955,BALICA I HORIA,27,MH,JUDEȚUL MEHEDINȚI,MEHEDINȚI,112469,Izvoru Bârzii,IZVORU BÂRZII,"26,0000000000",MIȘCAREA PENTRU NOUL MEHEDINȚI,M N MH,"15,0000000000",PARTIDUL DEMOCRAT LIBERAL,PDL,1,2
2196,NIȚĂ ALEXANDRU,30,OT,JUDEȚUL OLT,OLT,127625,Morunglav,MORUNGLAV,"61,0000000000",PARTIDUL SOCIAL DEMOCRAT,PSD,"61,0000000000",PARTIDUL SOCIAL DEMOCRAT,PSD,2,4
1956,STĂNCIOIU STELIAN,27,MH,JUDEȚUL MEHEDINȚI,MEHEDINȚI,112548,Jiana,JIANA,"62,0000000000",UNIUNEA SOCIAL LIBERALĂ,USL,"62,0000000000",UNIUNEA SOCIAL LIBERALĂ,USL,2,4
1978,COSTAICHE NISTOR,27,MH,JUDEȚUL MEHEDINȚI,MEHEDINȚI,113894,Vânjuleț,VÂNJULEȚ,"62,0000000000",UNIUNEA SOCIAL LIBERALĂ,USL,"62,0000000000",UNIUNEA SOCIAL LIBERALĂ,USL,2,4
754,STANCIU DUMITRU,10,BZ,JUDEȚUL BUZĂU,BUZĂU,48968,Râmnicelu,RÂMNICELU,"31,0000000000",PARTIDUL NAȚIONAL LIBERAL,PNL,"31,0000000000",PARTIDUL NAȚIONAL LIBERAL,PNL,3,3
3012,STĂNESCU ION,40,VL,JUDEȚUL VÂLCEA,VÂLCEA,173597,Sutești,SUTEȘTI,"62,0000000000",UNIUNEA SOCIAL LIBERALĂ,USL,"62,0000000000",UNIUNEA SOCIAL LIBERALĂ,USL,1,4
1470,CÎRSTEA GHEORGHE,20,GJ,JUDEȚUL GORJ,GORJ,80506,Hurezani,HUREZANI,"62,0000000000",UNIUNEA SOCIAL LIBERALĂ,USL,"62,0000000000",UNIUNEA SOCIAL LIBERALĂ,USL,2,3
1480,GRIGORIE ȘT. PETRE,20,GJ,JUDEȚUL GORJ,GORJ,81264,Plopșoru,PLOPȘORU,"62,0000000000",UNIUNEA SOCIAL LIBERALĂ,USL,"62,0000000000",UNIUNEA SOCIAL LIBERALĂ,USL,2,3
3017,BRICEAG CONSTANTIN,40,VL,JUDEȚUL VÂLCEA,VÂLCEA,174085,Valea Mare,VALEA MARE,"73,0000000000",ALIANȚA ELECTORALĂ PSD-PNL VÂLCEA,PSD-PNL VL,"62,0000000000",UNIUNEA SOCIAL LIBERALĂ,USL,1,3
1924,VLĂDUȚI CONSTANTIN,27,MH,JUDEȚUL MEHEDINȚI,MEHEDINȚI,110535,Bălăcița,BĂLĂCIȚA,"62,0000000000",UNIUNEA SOCIAL LIBERALĂ,USL,"62,0000000000",UNIUNEA SOCIAL LIBERALĂ,USL,2,4
1922,COANDĂ LUCIAN LAURENȚIU,27,MH,JUDEȚUL MEHEDINȚI,MEHEDINȚI,110571,Bâcleș,BÂCLEȘ,"62,0000000000",UNIUNEA SOCIAL LIBERALĂ,USL,"62,0000000000",UNIUNEA SOCIAL LIBERALĂ,USL,2,3
1419,GHIDĂNAC L. MARIN,19,GR,JUDEȚUL GIURGIU,GIURGIU,104831,Roata De Jos,ROATA DE JOS,"61,0000000000",PARTIDUL SOCIAL DEMOCRAT,PSD,"61,0000000000",PARTIDUL SOCIAL DEMOCRAT,PSD,2,4
1945,GHEORGHECI ION,27,MH,JUDEȚUL MEHEDINȚI,MEHEDINȚI,111818,Godeanu,GODEANU,"26,0000000000",MIȘCAREA PENTRU NOUL MEHEDINȚI,M N MH,"15,0000000000",PARTIDUL DEMOCRAT LIBERAL,PDL,1,2
