"nume","data","partid_vechi","partid_nou"
"Cezar Cioată","2013-05-07","Grupul parlamentar Democrat şi Popular","Deputați neafiliați"
"Cezar Cioată","2013-05-14","Deputați neafiliați","Grupul parlamentar Liberal Conservator (PC-PLR)"
"Liliana Ciobanu","2014-12-09","Grupul parlamentar Democrat şi Popular","Deputați neafiliați"
"Tudor Ciuhodaru","2015-04-29","Grupul parlamentar Democrat şi Popular","Grupul parlamentar al Partidului Social Democrat"
"Liviu Codîrlă","2013-12-17","Grupul parlamentar Democrat şi Popular","Grupul parlamentar al Partidului Social Democrat"
"Gheorghe Coman","2013-03-26","Grupul parlamentar Democrat şi Popular","Grupul parlamentar Liberal Conservator (PC-PLR)"
"Cornel-George Comşa","2014-03-31","Grupul parlamentar Democrat şi Popular","Deputați neafiliați"
"Andrei-Răzvan Condurățeanu","2013-12-17","Grupul parlamentar Democrat şi Popular","Grupul parlamentar al Partidului Social Democrat"
"Andrei-Răzvan Condurățeanu","2015-04-01","Grupul parlamentar al Partidului Social Democrat","Deputați neafiliați"
"Dănuț Culețu","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal","Grupul parlamentar al Partidului Național Liberal"
"Ion Cupă","2013-04-09","Grupul parlamentar al Partidului Democrat Liberal","Grupul parlamentar al Partidului Național Liberal"
"Ion Cupă","2014-07-02","Grupul parlamentar al Partidului Național Liberal","Deputați neafiliați"
"Ion Cupă","2014-09-01","Deputați neafiliați","Grupul parlamentar Liberal Conservator (PC-PLR)"
"Constantin Dascălu","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal","Grupul parlamentar al Partidului Național Liberal"
"Adrian-Nicolae Diaconu","2014-05-27","Grupul parlamentar Democrat şi Popular","Deputați neafiliați"
"Adrian-Nicolae Diaconu","2014-06-01","Deputați neafiliați","Grupul parlamentar al Partidului Social Democrat"
"Mihai-Bogdan Diaconu","2014-10-13","Grupul parlamentar al Partidului Social Democrat","Deputați neafiliați"
"Maria Dragomir","2014-12-09","Grupul parlamentar Democrat şi Popular","Deputați neafiliați"
"Paul Dumbrăvanu","2014-09-01","Grupul parlamentar al Partidului Național Liberal","Grupul parlamentar Liberal Conservator (PC-PLR)"
"Paul Dumbrăvanu","2015-02-02","Grupul parlamentar Liberal Conservator (PC-PLR)","Deputați neafiliați"
"Ioana-Jenica Dumitru","2014-06-27","Grupul parlamentar Democrat şi Popular","Grupul parlamentar al Partidului Social Democrat"
"Ovidiu-Ioan Dumitru","2013-05-21","Grupul parlamentar Democrat şi Popular","Deputați neafiliați"
"Ovidiu-Ioan Dumitru","2015-02-02","Deputați neafiliați","Grupul parlamentar al Partidului Național Liberal"
"Constantin-Cosmin Enea","2014-03-31","Grupul parlamentar al Partidului Național Liberal","Grupul parlamentar al Partidului Social Democrat"
"Nuțu Fonta","2014-02-24","Grupul parlamentar Democrat şi Popular","Grupul parlamentar al Partidului Social Democrat"
"Constantin Galan","2014-09-01","Grupul parlamentar al Partidului Național Liberal","Grupul parlamentar Liberal Conservator (PC-PLR)"
"Grațiela Leocadia Gavrilescu","2014-07-02","Grupul parlamentar al Partidului Național Liberal","Deputați neafiliați"
"Grațiela Leocadia Gavrilescu","2014-09-01","Deputați neafiliați","Grupul parlamentar Liberal Conservator (PC-PLR)"
"Florian Daniel Geantă","2014-02-03","Grupul parlamentar al Partidului Democrat Liberal","Deputați neafiliați"
"Florian Daniel Geantă","2015-03-06","Deputați neafiliați","Grupul parlamentar Democrat şi Popular"
"Florian Daniel Geantă","2015-04-20","Grupul parlamentar Democrat şi Popular","Grupul parlamentar al Partidului Social Democrat"
