Mihai-Ciprian Rogojan;1977-09-23;1;"26 Maramureș, colegiul uninominal nr.1";"Mihai-Ciprian Rogojan";"141"
Sorin Ștefan Roșca-Stănescu;1949-09-08;1;"16 Dâmbovița, colegiul uninominal nr.2";"";"142"
Antonie Solomon;1955-11-18;1;"17 Dolj, colegiul uninominal nr.1";"Antonie Solomon";"150"
Ștefan Stoica;;1;"23 Ialomița, colegiul uninominal nr.1";"Ștefan Stoica";"151"
Matei Suciu;1968-07-12;1;"37 Timiș, colegiul uninominal nr.3";"";"153"
Tanczos Barna;1976-05-25;1;"21 Harghita, colegiul uninominal nr.1";"";"155"
Dan Tătaru;1969-05-09;1;"4 Bacău, colegiul uninominal nr.3";"";"157"
Nelu Tătaru;1972-09-30;1;"39 Vaslui, colegiul uninominal nr.3";"";"158"
Eugen Orlando Teodorovici;1971-08-12;1;"10 Buzău, colegiul uninominal nr.1";"Eugen Orlando Teodorovici";"159"
Alin Păunel Tișe;1974-09-19;1;"13 Cluj, colegiul uninominal nr.1";"Alin Păunel Tișe";"160"
Valeriu Todirașcu;1969-09-03;1;"42 București, colegiul uninominal nr.12";"Valeriu Todirașcu";"161"
Ștefan-Liviu Tomoiagă;1966-04-07;1;"12 Călărași, colegiul uninominal nr.1";"";"163"
Doina-Anca Tudor;1960-03-15;1;"10 Buzău, colegiul uninominal nr.2";"";"164"
Nazare Eugen Țapu;1962-12-24;1;"29 Neamț, colegiul uninominal nr.1";"";"165"
Mihai Răzvan Ungureanu;1968-09-22;1;"2 Arad, colegiul uninominal nr.1";"Mihai Răzvan Ungureanu";"166"
Marian Vasiliev;1970-02-20;1;"14 Constanța, colegiul uninominal nr.2";"";"168"
Darius Bogdan Vâlcov;1977-03-25;1;"30 Olt, colegiul uninominal nr.1";"Darius Bogdan Vâlcov";"169"
Vegh Alexandru;1964-10-30;1;"33 Sălaj, colegiul uninominal nr.1";"";"170"
Haralambie Vochițoiu;1970-03-02;1;"22 Hunedoara, colegiul uninominal nr.1";"";"172"
Ionuț-Elie Zisu;1964-07-20;1;"3 Argeș, colegiul uninominal nr.4";"";"176"
Ilie Năstase;1946-07-19;1;"42 București, colegiul uninominal nr.8";"Ilie Năstase";"177"
Alfred-Laurentiu-Antonio Mihai;1981-05-18;1;"42 București, colegiul uninominal nr.7";"";"178"
Mihnea Cosmin Costoiu;1972-03-02;1;"20 Gorj, colegiul uninominal nr.2";"";"179"
Luminița-Pachel Adam;1966-02-22;2;"30 Olt, colegiul uninominal nr.7";"";"2"
Constantin Adăscăliței;1967-09-18;2;"24 Iași, colegiul uninominal nr.3";"";"3"
Costel Alexe;1983-08-20;2;"24 Iași, colegiul uninominal nr.7";"";"4"
Florin-Alexandru Alexe;1979-08-30;2;"42 București, colegiul uninominal nr.10";"";"5"
Varol Amet;1972-12-09;2;"";"";"7"
Gabriela-Lola Anghel;1973-04-16;2;"31 Prahova, colegiul uninominal nr.10";"";"11"
Roxana-Florentina Anușca;1976-04-14;2;"7 Botoșani, colegiul uninominal nr.3";"";"14"
Ionel Arsene;1972-09-11;2;"29 Neamț, colegiul uninominal nr.7";"Ionel Arsene";"16"
Constantin Avram;1954-06-10;2;"4 Bacău, colegiul uninominal nr.6";"Constantin Avram";"17"
Ioan Axente;1956-11-04;2;"34 Sibiu, colegiul uninominal nr.4";"";"19"
Radu Babuș;1978-11-18;2;"14 Constanța, colegiul uninominal nr.4";"Radu Babuș";"20"
Ștefan-Alexandru Băișanu;1968-01-03;2;"35 Suceava, colegiul uninominal nr.1";"";"23"
Ion Bălan;1954-04-19;2;"38 Tulcea, colegiul uninominal nr.4";"Ion Bălan";"24"
George Becali;1958-06-25;2;"42 București, colegiul uninominal nr.25";"George Becali";"27"
Ioan Benga;1954-09-03;2;"";"";"29"
Ana Birchall;1973-08-30;2;"39 Vaslui, colegiul uninominal nr.5";"Ana Birchall";"31"
Viorel-Ionel Blăjuț;1973-05-13;2;"24 Iași, colegiul uninominal nr.12";"";"32"
Valentin Blănariu;1967-05-26;2;"";"";"33"
Valentin Gabriel Boboc;1966-03-24;2;"36 Teleorman, colegiul uninominal nr.4";"";"35"
Gheorghe-Dănuț Bogdan;1968-07-21;2;"5 Bihor, colegiul uninominal nr.5";"";"37"
Camelia-Margareta Bogdănici;1959-04-12;2;"24 Iași, colegiul uninominal nr.8";"";"38"
Constantin-Alin Bucur;1980-12-11;2;"36 Teleorman, colegiul uninominal nr.3";"Constantin-Alin Bucur";"44"
Simona Bucura-Oprescu;1980-04-02;2;"3 Argeș, colegiul uninominal nr.3";"";"45"
Corneliu-Florin Buicu;1970-11-22;2;"28 Mureș, colegiul uninominal nr.2";"";"48"
Ștefan Burlacu;1967-07-29;2;"25 Ilfov, colegiul uninominal nr.3";"";"49"
Mario-Ernest Caloianu;1975-11-09;2;"23 Ialomița, colegiul uninominal nr.1";"Mario-Ernest Caloianu";"51"
Florică Ică Calotă;1964-04-25;2;"36 Teleorman, colegiul uninominal nr.5";"";"52"
Dorel-Gheorghe Căprar;1974-08-06;2;"2 Arad, colegiul uninominal nr.6";"";"56"
Steluța-Gustica Cătăniciu;1963-02-19;2;"13 Cluj, colegiul uninominal nr.2";"";"57"
Remus-Florinel Cernea;1974-06-25;2;"14 Constanța, colegiul uninominal nr.9";"";"58"
Eugen Chebac;1951-07-22;2;"18 Galați, colegiul uninominal nr.3";"Eugen Chebac";"59"
Florica Cherecheș;1960-01-31;2;"5 Bihor, colegiul uninominal nr.9";"";"60"
Ioan-Cristian Chirteș;1972-02-09;2;"28 Mureș, colegiul uninominal nr.7";"";"62"
Cezar Cioată;1976-10-12;2;"35 Suceava, colegiul uninominal nr.9";"";"65"
Liliana Ciobanu;1969-04-17;2;"19 Giurgiu, colegiul uninominal nr.3";"";"67"
Dan Ciocan;1960-02-15;2;"30 Olt, colegiul uninominal nr.5";"";"68"
Tamara-Dorina Ciofu;1957-12-30;2;"7 Botoșani, colegiul uninominal nr.6";"";"69"
Ion-Marcel Ciolacu;1967-11-28;2;"10 Buzău, colegiul uninominal nr.7";"";"70"
Lucian-Manuel Ciubotaru;1969-06-17;2;"4 Bacău, colegiul uninominal nr.3";"";"71"
Florin Ciurariu;1971-04-03;2;"39 Vaslui, colegiul uninominal nr.3";"";"74"
Erland Cocei;1970-03-13;2;"10 Buzău, colegiul uninominal nr.4";"";"75"
Gheorghe Coman;1969-05-05;2;"10 Buzău, colegiul uninominal nr.5";"Gheorghe Coman";"77"
Cornel-George Comșa;1977-05-05;2;"1 Alba, colegiul uninominal nr.4";"";"78"
Andrei-Răzvan Condurățeanu;1970-07-11;2;"14 Constanța, colegiul uninominal nr.3";"";"79"
Daniel Constantin;1978-06-26;2;"3 Argeș, colegiul uninominal nr.7";"Daniel Constantin";"80"
Vlad-Alexandru Cosma;1983-02-08;2;"31 Prahova, colegiul uninominal nr.8";"Vlad-Alexandru Cosma";"81"
Gheorghe Costin;1954-08-08;2;"5 Bihor, colegiul uninominal nr.4";"Gheorghe Costin";"82"
Corneliu-Mugurel Cozmanciuc;1978-05-09;2;"24 Iași, colegiul uninominal nr.1";"";"84"
Aurelia Cristea;1968-04-24;2;"13 Cluj, colegiul uninominal nr.3";"Aurelia Cristea";"86"
Dănuț Culețu;1955-09-16;2;"14 Constanța, colegiul uninominal nr.9";"Dănuț Culețu";"90"
Ion Cupă;1968-08-17;2;"20 Gorj, colegiul uninominal nr.1";"";"91"
Ioan Cupșa;1965-09-25;2;"5 Bihor, colegiul uninominal nr.8";"";"92"
Ștefan-Petru Dalca;1969-09-11;2;"2 Arad, colegiul uninominal nr.7";"";"94"
Mihai Deaconu;1960-05-16;2;"3 Argeș, colegiul uninominal nr.3";"Mihai Deaconu";"96"
Adrian-Nicolae Diaconu;1966-11-26;2;"37 Timiș, colegiul uninominal nr.8";"";"98"
Mihai-Bogdan Diaconu;1979-10-09;2;"42 București, colegiul uninominal nr.17";"";"99"
Toader Dima;1951-02-25;2;"39 Vaslui, colegiul uninominal nr.6";"";"100"
Ion Diniță;1962-03-16;2;"8 Brașov, colegiul uninominal nr.7";"Ion Diniță";"101"
Ioan Dîrzu;1967-02-01;2;"1 Alba, colegiul uninominal nr.5";"";"102"
Anton Doboș;1961-05-19;2;"24 Iași, colegiul uninominal nr.12";"Anton Doboș";"103"
Mircea-Titus Dobre;1978-12-20;2;"14 Constanța, colegiul uninominal nr.7";"";"104"
Traian Dobrinescu;1949-05-23;2;"40 Vâlcea, colegiul uninominal nr.1";"";"106"
Mircea Dolha;1969-05-24;2;"26 Maramureș, colegiul uninominal nr.1";"Mircea Dolha";"107"
Nechita-Stelian Dolha;1970-04-19;2;"";"";"108"
Nicolae-Liviu Dragnea;1962-10-28;2;"36 Teleorman, colegiul uninominal nr.3";"Nicolae-Liviu Dragnea";"111"
Maria Dragomir;1957-09-02;2;"12 Călărași, colegiul uninominal nr.1";"";"113"
Viorel Marian Dragomir;1975-06-16;2;"9 Brăila, colegiul uninominal nr.3";"";"114"
Vasile-Cătălin Drăgușanu;1979-06-05;2;"29 Neamț, colegiul uninominal nr.1";"";"117"
Paul Dumbrăvanu;1979-10-02;2;"31 Prahova, colegiul uninominal nr.11";"";"118"
Ioana-Jenica Dumitru;1970-08-01;2;"3 Argeș, colegiul uninominal nr.6";"";"121"
Ovidiu-Ioan Dumitru;1980-10-29;2;"42 București, colegiul uninominal nr.6";"";"122"
Gheorghe Emacu;1958-10-13;2;"24 Iași, colegiul uninominal nr.8";"";"124"
Constantin-Cosmin Enea;1979-10-14;2;"17 Dolj, colegiul uninominal nr.1";"";"126"
Ion Eparu;1952-06-06;2;"31 Prahova, colegiul uninominal nr.10";"";"127"
Fejér László-Ődőn;1961-11-11;2;"15 Covasna, colegiul uninominal nr.3";"";"129"
Cătălin-Daniel Fenechiu;1969-11-20;2;"42 București, colegiul uninominal nr.19";"Cătălin-Daniel Fenechiu";"130"
Daniel Florea;1972-09-19;2;"12 Călărași, colegiul uninominal nr.1";"Daniel Florea";"134"
Nuțu Fonta;1963-08-27;2;"26 Maramureș, colegiul uninominal nr.5";"";"135"
Gheorghe Frăticiu;1958-12-06;2;"34 Sibiu, colegiul uninominal nr.5";"";"136"
Constantin Galan;1956-12-17;2;"35 Suceava, colegiul uninominal nr.6";"";"137"
Florin Gheorghe;1978-12-15;2;"14 Constanța, colegiul uninominal nr.10";"";"143"
Giureci-Slobodan Ghera;1979-04-15;2;"";"";"145"
Sebastian-Aurelian Ghiță;1978-11-10;2;"31 Prahova, colegiul uninominal nr.4";"Sebastian-Aurelian Ghiță";"146"
Dumitru-Verginel Gireadă;1968-10-03;2;"7 Botoșani, colegiul uninominal nr.1";"Dumitru-Verginel Gireadă";"148"
Dinu Giurescu;1927-02-15;2;"42 București, colegiul uninominal nr.19";"Dinu Giurescu";"149"
Maria Grapini;1954-11-07;2;"37 Timiș, colegiul uninominal nr.3";"Maria Grapini";"153"
Maria Grecea;1974-02-27;2;"8 Brașov, colegiul uninominal nr.3";"";"154"
Sorin Mihai Grindeanu;1973-12-05;2;"37 Timiș, colegiul uninominal nr.2";"";"155"
Vasile Gudu;1954-03-04;2;"38 Tulcea, colegiul uninominal nr.1";"";"157"
Dragoș-Ionel Gunia;1977-07-19;2;"31 Prahova, colegiul uninominal nr.6";"";"158"
Virgil Guran;1965-05-12;2;"31 Prahova, colegiul uninominal nr.2";"";"159"
Liviu Harbuz;1962-06-18;2;"29 Neamț, colegiul uninominal nr.3";"";"163"
Eleonora-Carmen Hărău;1960-11-04;2;"22 Hunedoara, colegiul uninominal nr.7";"";"164"
Ioan Hulea;1957-08-13;2;"5 Bihor, colegiul uninominal nr.3";"";"169"
Sorin-Avram Iacoban;1969-10-15;2;"24 Iași, colegiul uninominal nr.10";"";"171"
Daniel Iane;1967-06-20;2;"17 Dolj, colegiul uninominal nr.8";"";"174"
Ovidiu-Cristian Iane;1970-10-12;2;"35 Suceava, colegiul uninominal nr.7";"Ovidiu-Cristian Iane";"175"
Vasile Iliuță;1968-05-04;2;"12 Călărași, colegiul uninominal nr.2";"";"178"
Natalia-Elena Intotero;1976-01-14;2;"22 Hunedoara, colegiul uninominal nr.2";"Natalia-Elena Intotero";"179"
Aurelian Ionescu;1977-10-17;2;"23 Ialomița, colegiul uninominal nr.4";"";"180"
Vicențiu-Mircea Irimie;1967-06-21;2;"13 Cluj, colegiul uninominal nr.8";"";"183"
Raluca-Cristina Ispir;1978-12-22;2;"42 București, colegiul uninominal nr.12";"";"185"
Kereskényi Gábor;1980-01-29;2;"";"";"190"
Camelia Khraibani;1961-09-23;2;"20 Gorj, colegiul uninominal nr.4";"";"191"
Liviu Laza-Matiuța;1964-06-10;2;"5 Bihor, colegiul uninominal nr.4";"";"193"
Victor-Gheorghe Manea;1967-09-01;2;"14 Constanța, colegiul uninominal nr.5";"";"199"
