Lat,Lon,Cod
47.450246,26.084022,SV-III-m-B-05685
47.707011,25.84502,SV-II-m-B-05647
47.645118,26.255053,SV-IV-m-B-05696
47.846661,25.915864,SV-II-m-B-05616
47.758137,26.229615,SV-II-m-A-05577.04
47.554316,25.889066,SV-II-m-B-05551
47.347338,25.356238,SV-II-m-B-05662
47.656833,25.571283,SV-II-a-A-05673
47.641414,26.257418,SV-II-m-B-05480
47.531416,25.553806,SV-II-m-B-05515
43.97164,25.327118,TR-II-m-B-14251
44.109035,24.994514,TR-II-a-B-14406
43.932892,24.93391,TR-IV-m-B-14521
45.871752,20.801872,TM-II-m-A-06246
45.757587,21.22911,TM-II-m-A-06174
45.753413,21.226994,TM-II-m-A-06140
45.752906,21.227326,TM-II-m-A-06140
45.180122,28.805001,TL-II-m-B-05973
45.180104,28.805754,TL-II-m-B-05994
45.179523,28.805883,TL-II-m-B-05972
46.230437,27.673175,VS-II-m-A-06745
45.141537,24.363589,VL-II-m-B-09693.03
45.872359,27.20785,VN-IV-m-A-0031
45.70076,27.18945,VN-II-m-B-06420
47.644572,26.257622,SV-II-m-B-05476
45.289278,26.555389,BZ-IV-m-B-02537
47.415063,22.934474,SM-II-m-B-05268
47.791256,22.875763,SM-II-m-A-05224
47.718555,23.189431,SM-II-m-B-05372
47.179625,24.569263,BN-IV-m-A-01745
45.984765,23.557145,AB-IV-m-A-00422
46.070492,23.570453,AB II-m-A00098
44.092956,26.638865,CL-II-m-B-14695
44.929679,25.456306,DB-II-m-A-17169
46.135296,24.521263,SB-II-a-A-12328
45.75622,21.229888,TM-II-m-A-06154
45.750649,21.22422,TM-II-m-A-06138
44.977264,26.058661,PH-II-M-B16377
45.441322,28.05767,GL-II-m-B-03007
44.95885,25.481852,DB-II-m-A-17757.02
44.379103,25.011817,TR-II-m-B-14459
45.143767,24.674963,AG-II-m-B-13656
45.439725,28.049342,GL-II-m-B-03045
45.513892,25.366947,BV-II-m-B-11612.01
47.056609,21.934222,BH-IV-m-01253
46.083249,24.276863,SB-II-a-A-12582
45.641523,25.588997,BV-II-m-A-11574
45.187833,26.038151,PH-II-m-B-16828
44.928803,25.462009,DB-II-a-A-17310
47.794373,22.87587,SM-II-m-A-05233
46.93344,26.368565,NT-II-m-B-10573
44.660981,24.260544,VL-II-m-B-09752
