Cod,Lat,Lon
CV-II-m-A-13168,45.964914,26.015522
CV-II-a-A-13169,45.965904,26.023068
CV-II-m-A-13172,45.967293,26.015056
MS-II-m-A-16052,46.476834,24.896558
MS-II-m-B-15789,46.576839,24.601875
MS-II-m-A-15705,46.450373,24.24617
MS-II-m-A-15724,46.155337,25.023615
MS-II-m-B-15719,46.358072,24.382523
CJ-II-m-B-07554,46.534082,23.897771
CJ-II-m-B-07557,46.541521,23.8926
CJ-II-m-B-07553,46.537757,23.891527
CJ-II-m-B-07572,46.884056,23.898549
CV-II-m-A-13171,45.966734,26.014224
CV-II-m-B-13166,45.96343,26.024686
CV-II-m-B-13176,45.962166,26.029175
CV-II-a-B-13177,45.95423,26.043036
CV-II-m-B-13162,45.96343,26.024686
CV-II-m-B-13192,45.837635,25.803899
CV-II-a-B-13203,45.917699,25.991887
CV-II-m-B-13201,45.926054,25.986898
CV-II-a-B-13200,45.921492,25.989009
CV-II-m-A-13225,45.795933,25.770952
CV-II-m-B-13245,45.79802,25.843511
CV-II-m-B-13248,45.796973,25.850743
CV-II-m-B-13251,45.886394,25.929727
CV-II-m-B-13254,46.06706,26.089052
CV-II-m-A-13269,46.040025,26.130915
CJ-II-m-B-07586,47.168805,23.912515
CJ-II-m-B-07588,46.972956,23.677637
CJ-II-m-B-07619,46.83047,23.35626
CJ-II-m-B-07621,46.858373,24.089772
CJ-II-m-B-07672,46.756912,23.385295
CJ-II-m-B-07680,46.556352,23.512563
CJ-II-m-B-07681,46.556352,23.512563
CJ-II-m-B-07682,46.556352,23.512563
CJ-II-m-B-07686,46.860708,23.791536
CJ-II-m-B-07739,46.824099,23.53445
HR-II-m-B-12846,46.22127,26.102928
HR-II-m-B-12909,46.316429,25.281927
MS-II-m-A-15711,46.874212,24.57854
MS-II-m-A-15716,46.605759,24.437294
MS-II-m-A-15737,46.447239,24.32257
MS-II-a-A-15678,46.331595,24.328939
BH-II-m-B-01150,47.484441,22.213521
BH-II-m-B-01148,47.485929,22.212552
BH-II-m-B-01149,47.483217,22.210825
05B0153,46.892556,21.745655
BH-II-m-B-01173,47.346125,22.34118
BH-II-m-B-01203,47.00382,21.976695
BH-II-m-B-01180,47.436419,22.226669
BH-II-m-B-01199,47.226425,22.02667
HR-II-m-B-12739,46.374027,25.799422
HR-II-m-B-12742,46.373834,25.815315
TM-II-m-B-21014,45.92745,21.304555
CV-II-m-A-13225,45.795933,25.770952
TM-II-m-B-06228,45.463539,20.99351
BC-II-a-B-00801,46.718607,26.69772
BC-II-a-A-00805,46.184792,26.92765
BC-II-m-A-00808,46.767091,26.837711
BC-II-a-A-00816,46.420364,26.446741
BC-II-m-A-00822,46.371658,26.440142
BC-II-a-A-00825,46.337025,26.531294
BC-II-m-A-00840,46.337573,26.960647
BC-II-m-A-00841,46.377743,26.958656
BC-II-m-B-00846,46.438833,27.068933
BC-II-m-A-00851,46.63543,26.863728
BC-II-m-B-00854,46.559886,26.861765
BC-II-m-B-00873,46.561044,26.865048
BC-II-a-A-00914,46.511847,26.649665
BC-II-m-B-00887,46.332199,26.995726
BT-II-m-B-01950,47.855398,26.454796
BC-II-m-B-00886,46.541853,26.989117
BC-II-m-B-00896,46.191826,27.067684
04B0159,46.703206,26.923569
BC-II-m-B-00904,46.220227,26.854683
BC-II-m-B-00921,46.448673,26.700554
IS-II-m-B-04119,47.376151,26.958518
IS-II-m-B-04122,46.935056,27.549312
