"Judet","Localitate","Tip artera","Denumire artera","Numar/Bloc","Codpostal"
"Giurgiu","Giurgiu","Strada","Verii","","080406"
"Giurgiu","Giurgiu","Strada","Plevnei","nr. 1-17","080411"
"Giurgiu","Giurgiu","Strada","Plevnei","nr. 2-22","080413"
"Giurgiu","Giurgiu","Fundătura","Plevnei","","080415"
"Giurgiu","Giurgiu","Strada","Episcopiei","bl. 32","080014"
"Giurgiu","Giurgiu","Strada","Episcopiei","nr. 3-9","080014"
"Giurgiu","Giurgiu","Aleea","Plantelor","nr. 1-T","080027"
"Giurgiu","Giurgiu","Strada","Varga Ecaterina","","080049"
"Giurgiu","Giurgiu","Piața","1848","nr. 1-T","080051"
"Giurgiu","Giurgiu","Piața","1848","bl. 48","080053"
"Giurgiu","Giurgiu","Piața","1848","nr. 4-T","080053"
"Giurgiu","Giurgiu","Strada","Dunării","nr. 1-123","080061"
"Giurgiu","Giurgiu","Strada","Dunării","nr. 2-130","080063"
"Giurgiu","Giurgiu","Intrarea","Fructonil","","080065"
"Giurgiu","Giurgiu","Strada","Iosif Ștefan Octavian","","080066"
"Giurgiu","Giurgiu","Strada","Cerna Panait","","080067"
"Giurgiu","Giurgiu","Ulița","Albăstrelelor","","080068"
"Giurgiu","Giurgiu","Strada","Călugăreni","","080069"
"Giurgiu","Giurgiu","Strada","Drăcea D. Marin, dr. ing.","","080071"
"Giurgiu","Giurgiu","Fundătura","Frumoasei","","080072"
"Giurgiu","Giurgiu","Fundătura","Tăbăcari","","080073"
"Giurgiu","Giurgiu","Strada","Filomelei","","080074"
"Giurgiu","Giurgiu","Strada","Barbilian Dan","","080075"
"Giurgiu","Giurgiu","Strada","Rădulescu Dem Mircea","","080076"
"Giurgiu","Giurgiu","Strada","Basarabescu Al. Ion","","080077"
"Giurgiu","Giurgiu","Strada","Cerbului","nr. 1-T","080078"
"Giurgiu","Giurgiu","Strada","Cerbului","nr. 2-T","080079"
"Giurgiu","Giurgiu","Strada","Vlahuță Alexandru","","080081"
"Giurgiu","Giurgiu","Fundătura","Pompierilor","","080082"
"Giurgiu","Giurgiu","Strada","Bălănescu Nicolae","bl. 19","080083"
"Giurgiu","Giurgiu","Strada","Bălănescu Nicolae","nr. 1-25","080083"
"Giurgiu","Giurgiu","Strada","Bălănescu Nicolae","nr. 2-24","080085"
"Giurgiu","Giurgiu","Fundătura","Varga Ecaterina","","080087"
"Giurgiu","Giurgiu","Aleea","Popescu Savin, prof.","","080088"
"Giurgiu","Giurgiu","Fundătura","Mărului","","080089"
"Giurgiu","Giurgiu","Fundătura","Părului","","080091"
"Giurgiu","Giurgiu","Strada","Vlad Tepeș","nr. 2-20","080094"
"Giurgiu","Giurgiu","Strada","Tabiei","nr. 85-T","080103"
"Giurgiu","Giurgiu","Strada","Tabiei","nr. 92-T","080106"
"Giurgiu","Giurgiu","Strada","Vlad Tepeș","bl. MUV1-MUV3","080092"
"Giurgiu","Giurgiu","Strada","Vlad Tepeș","nr. 1-23","080092"
"Giurgiu","Giurgiu","Strada","Vlad Tepeș","bl. MUV 4-MUV 6","080093"
"Giurgiu","Giurgiu","Strada","Vlad Tepeș","nr. 25-T","080093"
"Giurgiu","Giurgiu","Strada","Vlad Tepeș","nr. 22-T","080095"
"Giurgiu","Giurgiu","Strada","Ghelmez Petre","","080096"
"Giurgiu","Giurgiu","Strada","Tabiei","nr. 1-47","080101"
"Giurgiu","Giurgiu","Strada","Tabiei","nr. 2-62","080104"
"Giurgiu","Giurgiu","Strada","9 Mai","","080111"
"Giurgiu","Giurgiu","Strada","Crinului","","080112"
"Giurgiu","Giurgiu","Bulevardul","C.F.R.","nr. 91-T","080124"
"Giurgiu","Giurgiu","Bulevardul","C.F.R.","bl. 111","080127"
"Giurgiu","Giurgiu","Bulevardul","C.F.R.","nr. 58-T","080127"
"Giurgiu","Giurgiu","Strada","Albinelor","","080128"
"Giurgiu","Giurgiu","Strada","Griviței","","080129"
"Giurgiu","Giurgiu","Strada","Golescu Dinicu","","080131"
"Giurgiu","Giurgiu","Strada","Avram Iancu","","080132"
"Giurgiu","Giurgiu","Strada","Vlaicu Aurel","","080133"
"Giurgiu","Giurgiu","Strada","Comana","","080134"
"Giurgiu","Giurgiu","Strada","Cloșca","","080135"
"Giurgiu","Giurgiu","Strada","Crișan","","080136"
"Giurgiu","Giurgiu","Strada","Horea","","080137"
"Giurgiu","Giurgiu","Strada","Cluj","","080138"
"Giurgiu","Giurgiu","Strada","Dezrobirii","","080139"
"Giurgiu","Giurgiu","Strada","Progresului","","080141"
"Giurgiu","Giurgiu","Șoseaua","Bălănoaiei","nr. 1-57","080561"
"Giurgiu","Giurgiu","Șoseaua","Bălănoaiei","nr. 59-T","080562"
"Giurgiu","Giurgiu","Șoseaua","Bălănoaiei","nr. 2-56","080563"
"Giurgiu","Giurgiu","Șoseaua","Bălănoaiei","nr. 58-T","080564"
"Giurgiu","Giurgiu","Intrarea","Bălănoaiei","","080565"
"Giurgiu","Giurgiu","Ulița","Rarău","","080566"
"Giurgiu","Giurgiu","Ulița","Lupeni","","080567"
"Giurgiu","Giurgiu","Intrarea","Măgura","","080568"
"Giurgiu","Giurgiu","Drumul","Serei","","080569"
"Giurgiu","Giurgiu","Strada","Păstorului","nr. 1-31","080571"
"Giurgiu","Giurgiu","Strada","Păstorului","nr. 2-20","080573"
"Giurgiu","Giurgiu","Strada","Sabarului","","080575"
"Giurgiu","Giurgiu","Intrarea","Fluierului","","080576"
"Giurgiu","Giurgiu","Strada","Frasinului","","080577"
"Giurgiu","Giurgiu","Intrarea","Morarilor","","080578"
"Giurgiu","Giurgiu","Fundătura","Inului","","080579"
"Giurgiu","Giurgiu","Fundătura","Cameliei","","080581"
"Giurgiu","Giurgiu","Intrarea","Pinului","","080582"
"Giurgiu","Giurgiu","Strada","Gorneni","","080583"
"Giurgiu","Giurgiu","Șoseaua","Ghizdarului","nr. 2","080593"
"Giurgiu","Giurgiu","Strada","Barcian Droc Nicolae, prof.","nr. 2-T","080042"
"Giurgiu","Giurgiu","Strada","Dunării","nr. 125-T","080062"
"Giurgiu","Giurgiu","Strada","Dunării","nr. 132-T","080064"
"Giurgiu","Giurgiu","Strada","Bălănescu Nicolae","nr. 27-T","080084"
"Giurgiu","Giurgiu","Strada","Bălănescu Nicolae","nr. 26-T","080086"
"Giurgiu","Giurgiu","Strada","Tabiei","nr. 49-83","080102"
"Giurgiu","Giurgiu","Strada","Tabiei","nr. 64-90","080105"
"Giurgiu","Giurgiu","Strada","Păcii","","080151"
"Giurgiu","Giurgiu","Ulița","Păcii","","080152"
"Giurgiu","Giurgiu","Ulița","Farului","","080153"
"Giurgiu","Giurgiu","Strada","Smârdei","","080154"
"Giurgiu","Giurgiu","Strada","Vladimirescu Tudor","","080155"
"Giurgiu","Giurgiu","Strada","Mateescu George","","080156"
"Giurgiu","Giurgiu","Strada","Cuza Vodă","","080157"
"Giurgiu","Giurgiu","Strada","Romaniței","","080158"
"Giurgiu","Giurgiu","Strada","Soarelui","","080159"
"Giurgiu","Giurgiu","Strada","Braniștei","","080161"
"Giurgiu","Giurgiu","Aleea","Fabrica de Zahăr","","080162"
